File_Name,Species,MFCC_Mean,MFCC_Std,MFCC_Min,MFCC_Max
bowhead_whale_88006008.wav,Bowhead Whale,"[-333.7257080078125, 147.1050567626953, -32.41577911376953, 29.92366600036621, 16.215898513793945, -1.9653509855270386, 21.585851669311523, -3.153891086578369, 4.87595796585083, 11.46495532989502, -3.742891311645508, 4.389581680297852, -4.1675496101379395]","[10.983692169189453, 6.061288356781006, 15.063331604003906, 9.686882019042969, 4.607469081878662, 5.128404140472412, 6.563177585601807, 5.218113422393799, 5.400369644165039, 6.4475531578063965, 7.012451171875, 4.85600471496582, 4.791477680206299]","[-356.2442626953125, 121.60368347167969, -64.75540161132812, 6.969042778015137, 1.762214183807373, -10.663570404052734, 8.41270923614502, -14.085865020751953, -6.775160312652588, 1.260850191116333, -18.451786041259766, -7.823559284210205, -15.980443954467773]","[-297.0744323730469, 160.75735473632812, -1.240343689918518, 50.253990173339844, 24.779027938842773, 8.783686637878418, 36.56864929199219, 12.85324478149414, 17.272106170654297, 32.400672912597656, 12.319114685058594, 16.059324264526367, 7.332176208496094]"
bowhead_whale_88006006.wav,Bowhead Whale,"[-389.8009033203125, 168.9527130126953, -59.461639404296875, 44.8668327331543, 6.898780822753906, -12.94433307647705, 29.43883514404297, -9.152073860168457, 9.432751655578613, 14.013496398925781, -7.569534778594971, 13.707737922668457, -1.278959035873413]","[7.9412360191345215, 6.527370929718018, 5.38086462020874, 5.122554302215576, 4.78757905960083, 4.3615899085998535, 4.206866264343262, 3.395299196243286, 4.407160758972168, 4.312551975250244, 3.757795810699463, 4.283130168914795, 4.2208428382873535]","[-422.75628662109375, 140.6312713623047, -71.1220703125, 25.434268951416016, -8.942835807800293, -24.917179107666016, 17.042457580566406, -17.87289810180664, -0.435569703578949, 3.3100788593292236, -16.753219604492188, 0.7347049713134766, -14.249460220336914]","[-363.5920104980469, 182.02328491210938, -44.29692077636719, 57.93517303466797, 20.621410369873047, -3.316066265106201, 42.9532470703125, -0.31732895970344543, 19.874000549316406, 27.17848014831543, 0.8428263664245605, 21.942115783691406, 8.632888793945312]"
bowhead_whale_88006005.wav,Bowhead Whale,"[-330.28363037109375, 161.49618530273438, -23.007558822631836, 32.113948822021484, 12.125056266784668, -7.673251152038574, 17.60640525817871, -2.327993631362915, 7.6928486824035645, 6.80026912689209, -14.141111373901367, -1.2872412204742432, -4.189795017242432]","[7.636275768280029, 7.302277565002441, 6.735227108001709, 5.957394599914551, 3.8720734119415283, 4.085616588592529, 6.572220802307129, 4.698881149291992, 5.156599998474121, 7.104641437530518, 5.182775020599365, 3.8810007572174072, 4.2971320152282715]","[-368.01873779296875, 122.9024658203125, -51.649261474609375, 12.848896026611328, 5.240962028503418, -16.00768280029297, 5.266214847564697, -9.654685974121094, -5.528554439544678, -12.924123764038086, -25.13829803466797, -10.903873443603516, -11.62785816192627]","[-304.8645324707031, 175.44027709960938, -11.40944766998291, 42.163818359375, 24.30931854248047, 4.846866607666016, 37.17906951904297, 10.659981727600098, 16.280487060546875, 17.460556030273438, -3.6265034675598145, 8.928363800048828, 13.145727157592773]"
bowhead_whale_7801800J.wav,Bowhead Whale,"[-172.555908203125, 215.00230407714844, -71.71500396728516, 59.87408447265625, -6.13615083694458, -26.982954025268555, 37.17476272583008, -9.351313591003418, 19.347572326660156, 21.54736328125, -9.864760398864746, 19.062992095947266, -3.109335422515869]","[23.927818298339844, 10.94337272644043, 20.368839263916016, 14.124225616455078, 8.69698429107666, 13.072918891906738, 9.73102855682373, 8.59918212890625, 8.072468757629395, 9.654278755187988, 9.797579765319824, 8.962800025939941, 7.297891616821289]","[-208.2951202392578, 138.19366455078125, -112.65690612792969, 22.06026268005371, -26.211708068847656, -51.26548767089844, 13.731939315795898, -23.5843448638916, -7.286680221557617, 0.014132678508758545, -32.75505828857422, -3.882019281387329, -24.36798858642578]","[-131.50013732910156, 235.6806640625, 2.9727797508239746, 88.45574951171875, 14.099723815917969, 10.367385864257812, 59.92667007446289, 20.987529754638672, 35.04016876220703, 38.66761016845703, 8.648317337036133, 38.20246505737305, 13.794410705566406]"
bowhead_whale_7801800H.wav,Bowhead Whale,"[-158.6658172607422, 203.67503356933594, -92.26592254638672, 39.67048645019531, 3.743149518966675, -4.776514530181885, 54.7793083190918, -0.8005552887916565, 6.807048320770264, 5.30274772644043, -13.109902381896973, 23.365171432495117, 7.811812877655029]","[18.73513412475586, 10.533869743347168, 16.129858016967773, 12.238595008850098, 10.734469413757324, 15.613944053649902, 9.303802490234375, 14.571101188659668, 11.189117431640625, 10.752609252929688, 14.116740226745605, 10.489758491516113, 9.510608673095703]","[-197.5498046875, 114.24740600585938, -119.06236267089844, 16.100814819335938, -20.74248695373535, -35.68971252441406, 7.787467002868652, -36.757484436035156, -16.832595825195312, -14.74567985534668, -37.18003463745117, -0.1692495346069336, -19.054759979248047]","[-117.5484390258789, 216.37631225585938, -18.599451065063477, 62.941551208496094, 34.74180221557617, 31.698028564453125, 71.52326202392578, 34.288604736328125, 32.4091682434082, 35.319271087646484, 27.304935455322266, 43.10395812988281, 22.963382720947266]"
bowhead_whale_88006036.wav,Bowhead Whale,"[-321.4145812988281, 186.4602508544922, -122.77909088134766, 44.85881805419922, 23.29457664489746, -6.69810152053833, 32.25190734863281, -14.83721923828125, 17.20362663269043, 10.742058753967285, -26.798585891723633, 8.797652244567871, -1.3081997632980347]","[33.02048873901367, 18.095205307006836, 25.965681076049805, 16.428909301757812, 15.728445053100586, 8.774395942687988, 11.138293266296387, 9.857104301452637, 9.362092971801758, 10.119965553283691, 12.962326049804688, 11.765249252319336, 6.544537544250488]","[-424.4532775878906, 119.97000122070312, -170.03402709960938, 11.77338981628418, -5.72803258895874, -27.714447021484375, 6.060214042663574, -43.999534606933594, -14.053386688232422, -18.743896484375, -55.64942169189453, -20.510173797607422, -23.458450317382812]","[-264.5191650390625, 241.09225463867188, -35.817176818847656, 79.68635559082031, 62.22308349609375, 14.266959190368652, 59.97343826293945, 3.7494003772735596, 38.548587799072266, 37.54533386230469, 0.24636006355285645, 37.23478317260742, 20.076208114624023]"
bowhead_whale_8800600R.wav,Bowhead Whale,"[-366.95526123046875, 178.38229370117188, -77.63574981689453, 38.876609802246094, 3.987720012664795, -20.916828155517578, 24.563716888427734, -8.331393241882324, 15.441591262817383, 14.616129875183105, -14.506470680236816, 9.122126579284668, -2.2927563190460205]","[23.92083168029785, 13.210128784179688, 14.414327621459961, 8.171407699584961, 8.59752368927002, 8.841200828552246, 7.932714462280273, 6.999536991119385, 10.161675453186035, 10.472270965576172, 8.11992073059082, 8.237549781799316, 9.043784141540527]","[-424.6987609863281, 147.02659606933594, -140.4714813232422, 16.840574264526367, -13.775543212890625, -46.471290588378906, -4.321475505828857, -23.066999435424805, -1.7622878551483154, -8.473942756652832, -43.26388931274414, -13.210286140441895, -20.939083099365234]","[-308.8763122558594, 217.16952514648438, -52.609012603759766, 67.93548583984375, 27.4876651763916, -4.891371726989746, 47.26075744628906, 14.933633804321289, 37.06079864501953, 48.34695816040039, 8.531620979309082, 38.62577819824219, 27.687274932861328]"
bowhead_whale_8800600T.wav,Bowhead Whale,"[-349.35870361328125, 197.27476501464844, -54.74314880371094, 49.93798065185547, 2.973707437515259, -20.452791213989258, 21.332958221435547, -24.51482582092285, -6.399404525756836, -1.5396459102630615, -22.38502311706543, 3.9690113067626953, -9.45814323425293]","[27.163888931274414, 18.96520233154297, 8.604655265808105, 8.55580997467041, 7.401895523071289, 7.1005072593688965, 5.638055801391602, 8.385947227478027, 6.169316291809082, 4.869466304779053, 5.575915336608887, 5.034792900085449, 3.946199893951416]","[-429.123046875, 119.72691345214844, -76.67768096923828, 21.412830352783203, -12.61149787902832, -39.53276824951172, 8.8032865524292, -39.800209045410156, -17.928836822509766, -14.453757286071777, -31.694854736328125, -9.864497184753418, -19.00067901611328]","[-308.49249267578125, 226.64210510253906, -27.733776092529297, 66.25479888916016, 15.164129257202148, -0.47515296936035156, 34.845916748046875, -3.328273057937622, 9.815828323364258, 15.391267776489258, -3.993856191635132, 15.219200134277344, 6.0248188972473145]"
bowhead_whale_88006034.wav,Bowhead Whale,"[-307.9837951660156, 189.211181640625, -123.06117248535156, 46.705562591552734, 17.94498062133789, -11.583670616149902, 35.33579635620117, -17.846059799194336, 9.525470733642578, 13.465180397033691, -20.7695255279541, 7.882927417755127, -2.0936689376831055]","[46.90740203857422, 21.237274169921875, 32.666805267333984, 13.796306610107422, 13.869318962097168, 13.302660942077637, 12.466409683227539, 11.574240684509277, 8.60328197479248, 9.168437957763672, 9.038263320922852, 8.055917739868164, 8.578523635864258]","[-423.1377258300781, 132.5199737548828, -168.52987670898438, 22.040525436401367, -9.799388885498047, -40.936767578125, 2.6296584606170654, -45.113887786865234, -8.688422203063965, -11.054227828979492, -45.01207733154297, -17.770904541015625, -29.61094093322754]","[-242.9720916748047, 235.22088623046875, -47.06146240234375, 82.13539123535156, 46.37779235839844, 14.126710891723633, 59.59803771972656, 4.7007880210876465, 33.10601043701172, 37.95582962036133, -3.3997273445129395, 25.270782470703125, 21.4316463470459]"
bowhead_whale_8800600U.wav,Bowhead Whale,"[-334.7696838378906, 187.3861846923828, -39.92256164550781, 41.78858947753906, 6.131253719329834, -19.62520408630371, 14.567610740661621, -16.314733505249023, -1.3849023580551147, 1.9827126264572144, -15.910679817199707, 4.219753265380859, -6.335587501525879]","[32.45524597167969, 21.409149169921875, 10.608725547790527, 7.038516521453857, 7.983425140380859, 11.545988082885742, 11.464862823486328, 11.444859504699707, 8.582050323486328, 8.341630935668945, 8.658650398254395, 6.33463716506958, 6.2692365646362305]","[-404.6544494628906, 124.69964599609375, -59.63612365722656, 23.084835052490234, -15.19833755493164, -42.32660675048828, -10.261211395263672, -39.85037612915039, -15.97025203704834, -15.562360763549805, -33.51512145996094, -9.212265014648438, -20.718029022216797]","[-285.1971130371094, 222.26522827148438, -12.42282485961914, 58.473876953125, 22.35436248779297, 1.3878509998321533, 34.9510612487793, 3.0876364707946777, 15.580461502075195, 19.37918472290039, 1.9163885116577148, 19.484750747680664, 5.996772766113281]"
